Trend_Name;Tag_Name;;Tag_Color;Tag_LowLimit;Tag_HighLimit;Tag_Unit;Tag_Type
100310UG01291T12_H012_HG01;100310UG01291T12_H012HG01_TM01XI01;Fernleitung VL-Temp. XI;#FF0000;20;70;°C;
100310UG01291T12_H012_HG02;100310UG01291T12_H012HG02_TM01XI01;Raumheizung Verwaltung VL-Temp. XI;#FF0000;20;70;°C;
100310UG01291T12_H012_HG03;100310UG01291T12_H012HG03_TM01XI01;HG WW-Boiler/Lftg VL-Temp. XI;#FF0000;20;70;°C;
100310UG01291T12_H012_HG04;100310UG01291T12_H012HG04_TM01XI01;Raumheizung kleine Halle VL-Temp. XI;#FF0000;20;70;°C;
100310UG01291T12_S002;100310UG01291T12_S002WW02_TM01XI01;BWW-Boiler 2 Speichertemp.oben XI;#C0C0C0;25;125;°C;
100310UG01291T12_S002;100310UG01291T12_S002WW02_TM02XI01;BWW-Boiler 2 Speichertemp.unten XI;#808080;20;120;°C;
100310UG01291T12_S002;100310UG01291T12_S002WW03_TM01XI01;BWW-Boiler 3 Speichertemp.oben XI;#800080;15;115;°C;
100310UG01291T12_S002;100310UG01291T12_S002WW03_TM02XI01;BWW-Boiler 3 Speichertemp.unten XI;#008000;10;110;°C;
100310UG01291T12_H012_HG05;100310UG01291T12_H012HG05_TM01XI01;FL Badewasserumformer VL-Temp. XI;#FF0000;20;70;°C;
100310UG01291T12_H012_HG05;100310UG01291T12_H012HG05_TM02XI01;FL Badewasserumformer RL-Temp. XI;#0000FF;20;70;°C;
100310UG01291T12_H012_HG01;100310UG01291T12_H012HG01_RV01YB01;Fernleitung Regelventil;#000000;-10;110;%;Bar
100310UG01291T12_H012_HG02;100310UG01291T12_H012HG02_RV01YB01;Raumheizung Verwaltung Regelventil;#000000;-10;110;%;Bar
100310UG01291T12_H012_HG03;100310UG01291T12_H012HG03_RV01YB01;HG WW-Boiler/Lftg Regelventil;#000000;-10;110;%;Bar
100310UG01291T12_H012_HG04;100310UG01291T12_H012HG04_RV01YB01;Raumheizung kleine Halle Regelventil;#000000;-10;110;%;Bar
