Trend_Name;Tag_Name;Tag_Color;Tag_LowLimit;Tag_HighLimit;Tag_Unit;Tag_Type;Address
100310OG01250T16_L024;100310OG01250T16_L024AB1TM1_M1;#FFCC00;15;35;°C;;001:16_3_AI
100310OG01250T16_L024;100310OG01250T16_L024AG1AM1_V8;#FF0000;10;40;°C;;001:16_168_AI
100310OG01250T16_L024;100310OG01250T16_L024AU2TM1_M1;#808000;-20;40;°C;;001:16_1_AI
100310OG01250T16_L024;100310OG01250T16_L024LE1RV1_Y1;#000000;-10;110;%;true;001:16_187_AI
100310OG01250T16_L024;100310OG01250T16_L024UM1LK1_Y1;#808080;-15;115;%;true;001:16_172_AI
100310OG01250T16_L024;100310OG01250T16_L024WR1LK1_Y1;#C0C0C0;-20;120;%;true;001:16_173_AI
100310UG01299T20_S020;100310UG01299T20_S020ME1ME0_M4;#CC99FF;0;1000;ppm;;001:20_11_AI
100310UG01299T20_S020;100310UG01299T20_S020ME1ME0_M3;#993366;0;50;mg/cl;;001:20_10_AI
100310UG01299T20_S020;100310UG01299T20_S020ME1ME0_M2;#FF8080;-5;100;pH;;001:20_9_AI
100310UG01299T20_S020;100310UG01299T20_S020HG1TM1_M1;#FF0000;20;70;°C;;001:20_0_AI
100310UG01299T20_S020;100310UG01299T20_S020ME1ME0_M1;#0000FF;20;70;°C;;001:20_8_AI
100310EG00215T21_L026;100310EG00215T21_L026FO6TM1_M1;#FFFF00;10;30;°C;;001:21_3_AI
100310EG00215T21_L026;100310EG00215T21_L026LE1RV1_Y1;#000000;-10;110;%;true;001:21_66_AI
100310EG00215T21_L026;100310EG00215T21_L026LE1TM1_M1;#FF9900;5;55;°C;;001:21_0_AI
100310EG00215T21_L026;100310EG00215T21_L026UM1LK1_Y1;#808080;-15;115;%;true;001:21_64_AI
100310EG00215T21_L026;100310EG00215T21_L026WR1LK1_Y1;#969696;-20;120;%;true;001:21_65_AI
100310EG00215T21_L026;100310EG00215T21_L026ZU6TM1_M1;#FF0000;10;40;°C;;001:21_2_AI
100310EG00999T32_L043;100310EG00999T32_L043AB2TM1_M1;#FFCC00;15;35;°C;;001:21140_3_AI
100310EG00999T32_L043;100310EG00999T32_L043ZU4TM1_M1;#FF0000;10;40;°C;;001:21140_2_AI
